# LAMMPS data file written by OVITO Basic 3.9.2

3880 atoms
4 atom types

0.0 33.591 xlo xhi
0.0 33.591 ylo yhi
0.0 33.591 zlo zhi

Masses

1 1.00794  # H
2 12.0107  # C
3 14.0067  # N
4 15.9994  # O

Atoms  # atomic

453 1 -4.992 -26.575 -22.204
454 1 -5.598 -25.123 -21.373
455 1 -6.055 -25.101 -19.043
456 1 -7.437 -27.511 -17.882
457 1 -5.874 -27.183 -17.142
458 1 -6.741 -24.817 -16.879
459 1 -8.364 -25.298 -17.449
460 1 -6.998 -26.515 -15.092
461 1 -8.6 -27.036 -15.673
462 1 -9.537 -24.695 -15.057
463 1 -7.87 -24.238 -14.697
464 1 -7.733 -25.987 -13.03
465 1 -9.516 -26.351 -13.316
466 1 -8.399 -23.551 -12.52
467 1 -10.048 -24.106 -12.506
468 1 -9.849 -25.113 -10.536
469 2 -7.626 -25.013 -8.854
470 2 -8.46 -26.133 -8.247
471 2 -8.391 -26.074 -6.727
472 2 -9.266 -27.17 -5.992
473 2 -9.124 -27.198 -4.488
474 4 -9.01 -26.138 -3.872
475 3 -9.031 -28.511 -3.965
476 2 -8.864 -28.764 -2.529
477 2 -7.459 -28.726 -2.077
478 2 -7.345 -29.34 -0.666
479 2 -5.877 -29.411 -0.06
480 2 -5.049 -28.151 -0.116
481 2 -5.556 -27.119 0.894
482 3 -4.585 -25.954 0.888
483 2 -4.648 -24.913 1.79
484 4 -5.374 -24.951 2.791
485 1 -6.601 -25.153 -8.497
486 1 -7.943 -24.04 -8.467
487 1 -9.512 -25.888 -8.423
488 1 -8.221 -27.121 -8.65
489 1 -7.339 -26.199 -6.454
490 1 -8.6 -25.114 -6.247
491 1 -9.095 -28.133 -6.483
492 1 -10.284 -26.851 -6.232
493 1 -8.743 -29.227 -4.631
494 1 -9.445 -28.069 -1.916
495 1 -9.289 -29.768 -2.449
496 1 -6.933 -29.368 -2.788
497 1 -7.021 -27.725 -2.126
498 1 -7.937 -30.246 -0.504
499 1 -7.879 -28.611 -0.049
500 1 -5.319 -30.199 -0.574
501 1 -6.067 -29.693 0.98
502 1 -5.019 -27.8 -1.152
503 1 -4.057 -28.492 0.195
504 1 -6.554 -26.759 0.626
505 1 -5.503 -27.681 1.831
506 1 -3.749 -26.037 0.311
507 2 -3.619 -23.746 1.788
508 2 -2.789 -23.609 0.544
509 2 -3.554 -22.809 -0.56
510 2 -2.559 -22.519 -1.681
511 2 -2.991 -21.42 -2.659
512 4 -2.88 -20.254 -2.445
513 3 -3.541 -21.898 -3.901
514 2 -3.715 -21.006 -5.032
515 2 -4.226 -21.67 -6.272
516 2 -4.524 -20.711 -7.448
517 2 -5.156 -21.559 -8.607
518 2 -6.0 -20.707 -9.604
519 2 -7.444 -20.462 -9.136
520 3 -7.705 -19.743 -7.853
521 2 -8.62 -18.707 -7.782
522 4 -9.33 -18.358 -8.758
523 1 -4.147 -22.799 1.931
524 1 -2.961 -24.021 2.618
525 1 -1.861 -23.096 0.815
526 1 -2.525 -24.608 0.184
527 1 -4.432 -23.371 -0.89
528 1 -3.966 -21.877 -0.161
529 1 -2.309 -23.498 -2.102
530 1 -1.638 -22.186 -1.195
